Antibody,Virus,IC50,IC80,ID50
3BNC117,Q259_17,0.01,0.05,
3BNC117,Q259_17,0.046,,
3BNC117,Q259_17,0.01,0.05,
3BNC117,Q259_17,0.034,0.089,
3BNC117,Q461_E2,0.059,,
3BNC117,Q461_E2,0.113,0.332,
3BNC117,Q461_E2,0.069,,
3BNC117,Q461_E2,0.069,,
3BNC117,Q461_E2,0.03,,
3BNC117,Q461_E2,0.069,,
3BNC117,Q461_E2,0.07,,
3BNC117,Q461_E2,0.069,,
3BNC117,Q461_E2,0.069,,
3BNC117,Q461_E2,0.069,0.33,
3BNC117,Q461_E2,0.055,0.153,
3BNC117,Q461_E2,0.078,0.173,
3BNC117,Q461_E2,0.03,0.09,
3BNC117,Q461_E2,0.044,,
3BNC117,Q461_E2,0.03,0.09,
3BNC117,Q461_E2,0.16,0.401,
3BNC117,Q769_D22,0.008,,
3BNC117,Q769_D22,0.007,,
3BNC117,Q769_D22,0.007,,
3BNC117,Q769_D22,0.01,,
3BNC117,Q769_D22,0.007,,
3BNC117,Q769_D22,0.01,,
3BNC117,Q769_D22,0.01,,
3BNC117,Q769_D22,0.007,,
3BNC117,Q769_D22,0.007,0.045,
3BNC117,Q769_D22,0.013,0.039,
3BNC117,Q769_D22,0.016,0.046,
3BNC117,Q769_D22,0.01,0.04,
3BNC117,Q769_D22,0.017,,
3BNC117,Q769_D22,0.01,0.04,
3BNC117,Q769_D22,0.018,0.058,
3BNC117,Q769_H5,0.006,,
3BNC117,Q769_H5,0.006,,
3BNC117,Q769_H5,0.011,,
3BNC117,Q769_H5,0.0525435,,
3BNC117,Q769_H5,0.006,,
3BNC117,Q769_H5,0.006,,
3BNC117,Q769_H5,0.006,0.039,
3BNC117,Q769_H5,0.018,0.047,
3BNC117,Q769_H5,0.018,0.048,
3BNC117,Q842_D12,0.002,,
3BNC117,Q842_D12,0.002,,
3BNC117,Q842_D12,0.002,,
3BNC117,Q842_D12,0.01,,
3BNC117,Q842_D12,0.002,,
3BNC117,Q842_D12,0.01629111,,
3BNC117,Q842_D12,0.002,,
3BNC117,Q842_D12,0.002,,
3BNC117,Q842_D12,0.002,0.012,
3BNC117,Q842_D12,0.009,0.027,
3BNC117,Q842_D12,0.009,0.026,
3BNC117,Q842_D12,0.0071,,
3BNC117,Q842_D12,0.01,0.021,
3BNC117,QH0515_1,0.175,,
3BNC117,QH0515_1,0.175,,
3BNC117,QH0515_1,0.175,,
3BNC117,QH0515_1,0.066,,
3BNC117,QH0515_1,0.175,,
3BNC117,QH0515_1,0.175,,
3BNC117,QH0515_1,0.175,1.14,
3BNC117,QH0515_1,0.28,0.765,
3BNC117,QH0515_1,0.293,0.832,
3BNC117,QH0692_42,0.238,,
3BNC117,QH0692_42,0.275,,
3BNC117,QH0692_42,0.275,,
3BNC117,QH0692_42,0.13,,
3BNC117,QH0692_42,0.275,,
3BNC117,QH0692_42,0.26,,
3BNC117,QH0692_42,0.28,,
3BNC117,QH0692_42,0.4384349,,
3BNC117,QH0692_42,0.275,,
3BNC117,QH0692_42,0.275,,
3BNC117,QH0692_42,0.275,1.47,
3BNC117,QH0692_42,0.176,0.597,
3BNC117,QH0692_42,0.22,0.63,
3BNC117,QH0692_42,0.325,,
3BNC117,QH0692_42,0.13,0.49,
3BNC117,QH0692_42,0.2,,
3BNC117,QH0692_42,0.264,0.639,
3BNC117,QH209_14M_A2,0.008,,
3BNC117,QH209_14M_A2,0.008,,
3BNC117,QH209_14M_A2,0.008,,
3BNC117,QH209_14M_A2,0.008,,
3BNC117,QH209_14M_A2,0.008,0.043,
3BNC117,QH209_14M_A2,0.029,0.078,
3BNC117,QH209_14M_A2,0.035,0.094,
3BNC117,R1166_C1,0.208,,
3BNC117,R1166_C1,0.23,,
3BNC117,R1166_C1,0.23,,
3BNC117,R1166_C1,0.17,,
3BNC117,R1166_C1,0.23,,
3BNC117,R1166_C1,0.23,,
3BNC117,R1166_C1,0.23,0.805,
3BNC117,R1166_C1,0.163,0.585,
3BNC117,R1166_C1,0.208,0.498,
3BNC117,R1166_C1,0.17,0.64,
3BNC117,R1166_C1,0.129,0.357,
3BNC117,R18553,0.08,0.333,
3BNC117,R2184_C4,0.033,,
3BNC117,R2184_C4,0.035,,
3BNC117,R2184_C4,0.035,,
3BNC117,R2184_C4,0.03,,
3BNC117,R2184_C4,0.035,,
3BNC117,R2184_C4,0.035,,
3BNC117,R2184_C4,0.035,0.178,
3BNC117,R2184_C4,0.027,0.081,
3BNC117,R2184_C4,0.042,0.101,
3BNC117,R2184_C4,0.03,0.1,
3BNC117,R2184_C4,0.042,0.122,
3BNC117,R3265_C6,0.058,,
3BNC117,R3265_C6,0.02,,
3BNC117,R3265_C6,0.02,,
3BNC117,R3265_C6,0.48,,
3BNC117,R3265_C6,0.02,,
3BNC117,R3265_C6,0.02,,
3BNC117,R3265_C6,0.02,0.5,
3BNC117,R3265_C6,0.2,1.28,
3BNC117,R3265_C6,0.323,1.74,
3BNC117,R3265_C6,0.48,13.04,
3BNC117,R3265_C6,0.336,1.81,
3BNC117,R880F,0.076,0.261,
3BNC117,RBF208,0.63,,
3BNC117,REJO4541_67,0.03,,
3BNC117,REJO4541_67,0.039,,
3BNC117,REJO4541_67,0.039,,
3BNC117,REJO4541_67,0.01,,
3BNC117,REJO4541_67,0.039,,
3BNC117,REJO4541_67,0.009,,
3BNC117,REJO4541_67,0.04,,
3BNC117,REJO4541_67,0.1077851,,
3BNC117,REJO4541_67,0.039,,
3BNC117,REJO4541_67,0.039,,
3BNC117,REJO4541_67,0.039,0.132,
3BNC117,REJO4541_67,0.042,0.117,
3BNC117,REJO4541_67,0.053,0.127,
3BNC117,REJO4541_67,0.01,0.05,
3BNC117,REJO4541_67,0.04,,
3BNC117,REJO4541_67,0.064,0.158,
3BNC117,RHPA4259_7,0.026,,
3BNC117,RHPA4259_7,0.019,,
3BNC117,RHPA4259_7,0.019,,
3BNC117,RHPA4259_7,0.09,,
3BNC117,RHPA4259_7,0.019,,
3BNC117,RHPA4259_7,0.015,,
3BNC117,RHPA4259_7,0.02,,
3BNC117,RHPA4259_7,0.02635876,,
3BNC117,RHPA4259_7,0.019,,
3BNC117,RHPA4259_7,0.019,,
3BNC117,RHPA4259_7,0.019,0.071,
3BNC117,RHPA4259_7,0.02,0.054,
3BNC117,RHPA4259_7,0.017,0.05,
3BNC117,RHPA4259_7,0.025,,
3BNC117,RHPA4259_7,0.022,0.054,
3BNC117,S018_18,0.032,,
3BNC117,S018_18,0.032,,
3BNC117,S018_18,0.032,,
3BNC117,S018_18,0.032,,
3BNC117,S018_18,0.032,,
3BNC117,S018_18,0.032,0.176,
3BNC117,S018_18,0.009,0.044,
3BNC117,S018_18,0.041,0.115,
3BNC117,S30108_217WK_C42,0.36,,
3BNC117,S30440_173WK_C66,0.02,,
3BNC117,S30655_204WK_C26,0.19,,
3BNC117,S30725_597WK_C70,0.08,,
3BNC117,S30743_346WK_C88,0.12,,
3BNC117,S32212_164WK_C59,0.09,,
3BNC117,S32405_230WK_C34,0.81,,
3BNC117,S50216_677WK_C68,24.18,,
3BNC117,S50252_603WK_C11,0.6,,
3BNC117,S50408_1083WK_C40,0.16,,
3BNC117,S50741_847WK_C12,0.23,,
3BNC117,S50804_770WK_C17,0.5,,
3BNC117,S50901_909WK_C2,21.44,,
3BNC117,S51434_865WK_C3,6,,
3BNC117,S51603_618WK_C58,0.84,,
3BNC117,S51928_278WK_C26,0.07,,
3BNC117,S52026_432WK_C83,0.23,,
3BNC117,S5206G5_581WK_C51,0.21,,
3BNC117,S52725_275WK_C19,7.64,,
3BNC117,SC05_8C11_2344,0.15,,
3BNC117,SC05_8C11_2344,0.15,,
3BNC117,SC05_8C11_2344,0.108,0.363,
3BNC117,SC05_8C11_2344,0.15,0.51,
3BNC117,SC12_EC10,0.03,,
3BNC117,SC12_EC4,0.08,,
3BNC117,SC12_EC5,0.03,,
3BNC117,SC12_EC6,0.03,,
3BNC117,SC12_EC8,0.09,,
3BNC117,SC12_EC9,0.13,,
3BNC117,SC13_EC03,0.28,,
3BNC117,SC13_EC13,0.21,,
3BNC117,SC13_EC21,0.18,,
3BNC117,SC20_EC01,0.24,,
3BNC117,SC20_EC08,0.26,,
3BNC117,SC20_EC13,0.20,,
3BNC117,SC20_EC51,3.26,,
3BNC117,SC21_EC05,0.26,,
3BNC117,SC21_EC12,0.03,,
3BNC117,SC21_EC13,0.21,,
3BNC117,SC21_EC28,0.22,,
3BNC117,SC21_EC42,0.18,,
3BNC117,SC26_EC05,0.11,,
3BNC117,SC26_EC08,0.12,,
3BNC117,SC26_EC33,0.20,,
3BNC117,SC26_EC34,0.07,,
3BNC117,SC26_EC40,0.11,,
3BNC117,SC26_EC45,0.10,,
3BNC117,SC30_EC11,0.07,,
3BNC117,SC30_EC9,0.09,,
3BNC117,SC422_8,0.045,,
3BNC117,SC422_8,0.049,,
3BNC117,SC422_8,0.049,,
3BNC117,SC422_8,0.02,,
3BNC117,SC422_8,0.049,,
3BNC117,SC422_8,0.07,,
3BNC117,SC422_8,0.05,,
3BNC117,SC422_8,0.049,,
3BNC117,SC422_8,0.049,,
3BNC117,SC422_8,0.049,0.192,
3BNC117,SC422_8,0.048,0.143,
3BNC117,SC422_8,0.068,0.163,
3BNC117,SC422_8,0.02,0.08,
3BNC117,SC422_8,0.062,,
3BNC117,SC422_8,0.055,0.138,
3BNC117,SC62_EC108,0.03,,
3BNC117,SC62_EC64,0.03,,
3BNC117,SC62_EC72,1.30,,
3BNC117,SF162,0.019,,
3BNC117,SF162,0.019,,
3BNC117,SF162,0.019,,
3BNC117,SF162,0.019,,
3BNC117,SF162,0.019,,
3BNC117,SF162,0.019,0.084,
3BNC117,SF162,0.048,0.17,
3BNC117,SF162,0.142,,
3BNC117,SF162,0.045,0.17,
3BNC117,SHIV_AD8EO,0.07,0.13,
3BNC117,SHIV_CNE40,0.551,,
3BNC117,SHIV_CNE40_JD14_W29_1,0.615,,
3BNC117,SHIV_CNE40_JD14_W29_11,0.753,,
3BNC117,SHIV_CNE40_JD14_W29_12,0.481,,
3BNC117,SHIV_CNE40_JD14_W29_14,0.63,,
3BNC117,SHIV_CNE40_JD14_W29_16,1.123,,
3BNC117,SHIV_CNE40_JD14_W29_17,0.172,,
3BNC117,SHIV_CNE40_JD14_W29_19,0.505,,
3BNC117,SHIV_CNE40_JD14_W29_2,0.462,,
3BNC117,SHIV_CNE40_JD14_W29_20,0.411,,
3BNC117,SHIV_CNE40_JD14_W29_3,0.623,,
3BNC117,SHIV_CNE40_JD14_W29_4,0.92,,
3BNC117,SHIV_CNE40_JD14_W29_5,0.36,,
3BNC117,SHIV_CNE40_JD14_W29_7,0.732,,
3BNC117,SHIV_CNE40_JD14_W29_8,0.874,,
3BNC117,SO032_A2_8_1,4.873,,
3BNC117,SO032_A2_8_1,4.873,>20,
3BNC117,SO186_H6_5,0.032,,
3BNC117,SO186_H6_5,0.032,0.087,
3BNC117,SO225_H11_12,0.588,,
3BNC117,SO225_H11_12,0.588,3.579,
3BNC117,SO405_T24_5,0.33,,
3BNC117,SO405_T24_5,0.33,0.872,
3BNC117,SO431_C1_1,0.198,,
3BNC117,SO431_C1_1,0.198,5.198,
3BNC117,SO607_B6_9,0.124,,
3BNC117,SO607_B6_9,0.124,0.433,
3BNC117,SO706_T10B_3,0.155,,
3BNC117,SO706_T10B_3,0.155,0.739,
3BNC117,SS1196_1,0.038,,
3BNC117,SS1196_1,0.038,,
3BNC117,SS1196_1,0.038,,
3BNC117,SS1196_1,0.038,,
3BNC117,SS1196_1,0.038,,
3BNC117,SS1196_1,0.038,0.144,
3BNC117,SS1196_1,0.042,0.129,
3BNC117,SS1196_1,0.061,0.123,
3BNC117,T251_18,0.22,,
3BNC117,T251_18,0.219,0.831,
3BNC117,T251_18,0.203,,
3BNC117,T251_18,0.203,,
3BNC117,T251_18,0.26,,
3BNC117,T251_18,0.203,,
3BNC117,T251_18,0.203,0.858,
3BNC117,T251_18,0.203,,
3BNC117,T251_18,0.203,0.858,
3BNC117,T251_18,0.178,0.515,
3BNC117,T251_18,0.252,0.659,
3BNC117,T251_18,0.26,0.82,
3BNC117,T251_18,0.227,0.468,
3BNC117,T253_11,0.116,,
3BNC117,T253_11,0.116,,
3BNC117,T253_11,0.116,,
3BNC117,T253_11,0.116,,
3BNC117,T253_11,0.116,0.328,
3BNC117,T253_11,0.082,0.258,
3BNC117,T253_11,0.075,,
3BNC117,T253_11,0.01,,
3BNC117,T253_11,0.103,0.314,
3BNC117,T253_11_L669S,0.01,,
3BNC117,T253_11_Y681H,0.01,,
3BNC117,T255_34,0.037,,
3BNC117,T255_34,0.051,,
3BNC117,T255_34,0.051,,
3BNC117,T255_34,0.02,,
3BNC117,T255_34,0.051,,
3BNC117,T255_34,0.051,,
3BNC117,T255_34,0.051,0.296,
3BNC117,T255_34,0.055,0.231,
3BNC117,T255_34,0.048,0.185,
3BNC117,T255_34,0.02,0.14,
3BNC117,T255_34,0.052,0.206,
3BNC117,T257_31,0.125,,
3BNC117,T257_31,0.181,,
3BNC117,T257_31,0.181,,
3BNC117,T257_31,0.06,,
3BNC117,T257_31,0.181,,
3BNC117,T257_31,0.181,,
3BNC117,T257_31,0.181,0.694,
3BNC117,T257_31,0.123,0.586,
3BNC117,T257_31,0.144,0.44,
3BNC117,T257_31,0.06,0.37,
3BNC117,T257_31,0.087,0.407,
3BNC117,T280_5,0.019,,
3BNC117,T280_5,0.019,,
3BNC117,T280_5,0.019,,
3BNC117,T280_5,0.019,,
3BNC117,T280_5,0.019,0.06,
3BNC117,T280_5,0.015,0.049,
3BNC117,T280_5,0.02,0.06,
3BNC117,TH023_6,0.28,,
3BNC117,TH023_6,0.017,0.212,
3BNC117,TH023_6,0.033,0.189,
3BNC117,TH966_8,0.056,,
3BNC117,TH966_8,0.056,,
3BNC117,TH966_8,0.056,,
3BNC117,TH966_8,0.056,,
3BNC117,TH966_8,0.056,,
3BNC117,TH966_8,0.056,0.363,
3BNC117,TH966_8,0.073,0.244,
3BNC117,TH966_8,0.123,0.486,
3BNC117,TH976_17,0.025,,
3BNC117,TH976_17,0.025,,
3BNC117,TH976_17,0.025,,
3BNC117,TH976_17,0.03,,
3BNC117,TH976_17,0.025,,
3BNC117,TH976_17,0.025,,
3BNC117,TH976_17,0.025,0.197,
3BNC117,TH976_17,0.05,0.12,
3BNC117,TH976_17,0.061,0.169,
3BNC117,THRO4156,2.552,,
3BNC117,THRO4156,2.8,,
3BNC117,THRO4156,2.8,,
3BNC117,THRO4156,1.76,,
3BNC117,THRO4156,2.8,,
3BNC117,THRO4156,2.8,,
3BNC117,THRO4156,2.8,,
3BNC117,THRO4156,2.8,,
3BNC117,THRO4156,2.8,13.6,
3BNC117,THRO4156,3,20,
3BNC117,THRO4156,1.69,7.97,
3BNC117,THRO4156,1.76,10.14,
3BNC117,THRO4156,2.2,,
3BNC117,THRO4156,2.63,9.07,
3BNC117,TRJO4551_58,0.059,,
3BNC117,TRJO4551_58,0.143,0.502,
3BNC117,TRJO4551_58,0.062,,
3BNC117,TRJO4551_58,0.062,,
3BNC117,TRJO4551_58,0.05,,
3BNC117,TRJO4551_58,0.062,,
3BNC117,TRJO4551_58,0.041,,
3BNC117,TRJO4551_58,0.06,,
3BNC117,TRJO4551_58,0.062,,
3BNC117,TRJO4551_58,0.062,,
3BNC117,TRJO4551_58,0.062,0.216,
3BNC117,TRJO4551_58,0.132,0.36,
3BNC117,TRJO4551_58,0.086,0.239,
3BNC117,TRJO4551_58,0.05,0.19,
3BNC117,TRJO4551_58,0.11,,
3BNC117,TRJO4551_58,0.131,0.317,
3BNC117,TRO_11,0.062,,
3BNC117,TRO_11,0.033,,
3BNC117,TRO_11,0.033,,
3BNC117,TRO_11,0.09,,
3BNC117,TRO_11,0.033,,
3BNC117,TRO_11,0.013,,
3BNC117,TRO_11,0.6,,
3BNC117,TRO_11,0.03,,
3BNC117,TRO_11,0.032,,
3BNC117,TRO_11,0.05877104,,
3BNC117,TRO_11,0.033,,
3BNC117,TRO_11,0.033,,
3BNC117,TRO_11,0.033,0.125,
3BNC117,TRO_11,0.056,0.145,
3BNC117,TRO_11,0.039,0.099,
3BNC117,TRO_11,0.02,,
3BNC117,TRO_11,0.04,,
3BNC117,TRO_11,0.029,,
3BNC117,TRO_11,0.03,0.074,
3BNC117,TRO_11,0.0772,,
3BNC117,TRO_11,0.059,0.124,
3BNC117,TZBD_02,45.9,,
3BNC117,TZBD_02,45.9,,
3BNC117,TZBD_02,45.9,,
3BNC117,TZBD_02,45.9,,
3BNC117,TZBD_02,45.9,,
3BNC117,TZBD_02,45.9,>50,
3BNC117,TZBD_02,6.45,26.6,
3BNC117,UG021_16,0.41,,
3BNC117,UG021_16,0.41,,
3BNC117,UG021_16,0.41,,
3BNC117,UG021_16,0.41,,
3BNC117,UG021_16,0.41,5.09,
3BNC117,UG021_16,0.545,6.58,
3BNC117,UG021_16,0.25,1.57,
3BNC117,UG024_2,0.057,,
3BNC117,UG024_2,0.057,,
3BNC117,UG024_2,0.057,,
3BNC117,UG024_2,0.057,,
3BNC117,UG024_2,0.057,,
3BNC117,UG024_2,0.057,0.194,
3BNC117,UG024_2,0.045,0.154,
3BNC117,UG024_2,0.079,0.249,
3BNC117,UG037_8,0.02,,
3BNC117,UG037_8,0.02,,
3BNC117,UG037_8,0.02,,
3BNC117,UG037_8,0.02,,
3BNC117,UG037_8,0.02,,
3BNC117,UG037_8,0.02,,
3BNC117,UG037_8,0.02,0.108,
3BNC117,UG037_8,0.025,0.077,
3BNC117,UG037_8,0.029,,
3BNC117,UG037_8,0.027,0.08,
3BNC117,V703_0514_150ES_A4_V02_028,0.02,,
3BNC117,V703_0790_190_RE_E5G1S,0.34,,
3BNC117,V703_0790_190_RE_PBLIB002_S,0.19,,
3BNC117,V703_2769_050_RE_P01S_B23_V5,9.72,,
3BNC117,V703_2769_050_RE_PBLIB002_S,0.02,,
3BNC117,VA40774,0.048,,
3BNC117,WEAU_D15_410,0.05,,
3BNC117,WEAU_D15_410,0.05,,
3BNC117,WEAU_D15_410,0.057,0.19,
3BNC117,WEAU_D15_410,0.05,0.19,
3BNC117,WITO4160_33,0.024,,
3BNC117,WITO4160_33,0.03,,
3BNC117,WITO4160_33,0.03,,
3BNC117,WITO4160_33,0.01,,
3BNC117,WITO4160_33,0.03,,
3BNC117,WITO4160_33,0.009,,
3BNC117,WITO4160_33,0.03,,
3BNC117,WITO4160_33,0.06347627,,
3BNC117,WITO4160_33,0.03,,
3BNC117,WITO4160_33,0.03,,
3BNC117,WITO4160_33,0.03,0.161,
3BNC117,WITO4160_33,0.035,0.098,
3BNC117,WITO4160_33,0.04,0.093,
3BNC117,WITO4160_33,0.12,,
3BNC117,WITO4160_33,0.01,0.04,
3BNC117,WITO4160_33,0.032,,
3BNC117,WITO4160_33,0.028,0.117,
3BNC117,X1193_C1,0.06,,
3BNC117,X1193_C1,0.06,,
3BNC117,X1193_C1,0.075,0.234,
3BNC117,X1193_C1,0.067,0.173,
3BNC117,X1193_C1,0.06,0.25,
3BNC117,X1193_C1,0.085,0.227,
3BNC117,X1254_C3,0.08,,
3BNC117,X1254_C3,0.08,,
3BNC117,X1254_C3,0.074,0.26,
3BNC117,X1254_C3,0.062,0.158,
3BNC117,X1254_C3,0.08,0.27,
3BNC117,X1254_C3,0.067,0.154,
3BNC117,X1632_S2_B10,15.69,,
3BNC117,X1632_S2_B10,15.69,,
3BNC117,X1632_S2_B10,0.29,,
3BNC117,X1632_S2_B10,1,21.2,
3BNC117,X1632_S2_B10,0.445,14.9,
3BNC117,X1632_S2_B10,0.57,,
3BNC117,X1632_S2_B10,15.69,>50,
3BNC117,X1632_S2_B10,2.5,22.94,
3BNC117,X1632_S2_B10,0.911,>50,
3BNC117,X2131_C1_B5,0.43,,
3BNC117,X2131_C1_B5,0.43,,
3BNC117,X2131_C1_B5,0.247,0.825,
3BNC117,X2131_C1_B5,0.273,0.825,
3BNC117,X2131_C1_B5,0.43,1.96,
3BNC117,X2131_C1_B5,0.32,0.883,
3BNC117,X2278_C2_B6,0.025,0.061,
3BNC117,X2278_C2_B6,0.023,0.057,
3BNC117,X2278_C2_B6,0.00807,,
3BNC117,X2278_C2_B6,0.012,0.036,
3BNC117,X2278_C2_B6,0.026,0.063,
3BNC117,YU2,0.034,,
3BNC117,YU2,0.029,,
3BNC117,YU2,0.029,,
3BNC117,YU2,0.029,,
3BNC117,YU2,0.009,,
3BNC117,YU2,0.029,,
3BNC117,YU2,0.017,0.033,
3BNC117,YU2,0.029,,
3BNC117,YU2,0.029,0.099,
3BNC117,YU2,0.034,0.063,
3BNC117,YU2,0.054,,
3BNC117,YU2,0.052,0.138,
3BNC117,YU2,0.015,0.036,
3BNC117,ZA012_29,0.063,,
3BNC117,ZA012_29,0.063,,
3BNC117,ZA012_29,0.063,,
3BNC117,ZA012_29,0.089,,
3BNC117,ZA012_29,0.063,,
3BNC117,ZA012_29,0.063,,
3BNC117,ZA012_29,0.063,0.319,
3BNC117,ZA012_29,0.108,0.249,
3BNC117,ZA012_29,0.119,0.272,
3BNC117,ZENV07_0504_15,0.3788669,,
3BNC117,ZENV16_1202_7,0.04680496,,
3BNC117,ZENV32_0111_5,0.2949884,,
3BNC117,ZENV91_0505_12,0.3262459,,
3BNC117,ZENV92_1008_8,0.6076501,,
3BNC117,ZM106_9,0.082,,
3BNC117,ZM106_9,0.06,,
3BNC117,ZM106_9,0.082,,
3BNC117,ZM106_9,0.082,,
3BNC117,ZM106_9,0.054,,
3BNC117,ZM106_9,0.406115,,
3BNC117,ZM106_9,0.082,,
3BNC117,ZM106_9,0.082,,
3BNC117,ZM106_9,0.082,0.325,
3BNC117,ZM106_9,0.109,0.293,
3BNC117,ZM106_9,0.06,0.222,
3BNC117,ZM106_9,0.162,0.377,
3BNC117,ZM109_4,0.052,,
3BNC117,ZM109_4,0.271,1.678,
3BNC117,ZM109_4,0.041,,
3BNC117,ZM109_4,0.14,,
3BNC117,ZM109_4,0.041,,
3BNC117,ZM109_4,0.14,,
3BNC117,ZM109_4,0.041,,
3BNC117,ZM109_4,0.04,,
3BNC117,ZM109_4,0.041,,
3BNC117,ZM109_4,0.041,,
3BNC117,ZM109_4,0.041,0.242,
3BNC117,ZM109_4,0.191,0.832,
3BNC117,ZM109_4,0.142,0.753,
3BNC117,ZM109_4,0.14,0.88,
3BNC117,ZM109_4,0.13,,
3BNC117,ZM109_4,0.14,0.88,
3BNC117,ZM109_4,0.186,0.895,
3BNC117,ZM135_10A,0.058,,
3BNC117,ZM135_10A,0.067,,
3BNC117,ZM135_10A,0.03,,
3BNC117,ZM135_10A,0.03,,
3BNC117,ZM135_10A,0.067,,
3BNC117,ZM135_10A,0.07,,
3BNC117,ZM135_10A,0.067,,
3BNC117,ZM135_10A,0.067,,
3BNC117,ZM135_10A,0.067,0.28,
3BNC117,ZM135_10A,0.134,0.344,
3BNC117,ZM135_10A,0.094,0.221,
3BNC117,ZM135_10A,0.03,0.13,
3BNC117,ZM135_10A,0.06,,
3BNC117,ZM135_10A,0.03,0.13,
3BNC117,ZM135_10A,0.122,0.298,
3BNC117,ZM197_7,0.354,,
3BNC117,ZM197_7,0.398,,
3BNC117,ZM197_7,0.22,,
3BNC117,ZM197_7,0.398,,
3BNC117,ZM197_7,0.22,,
3BNC117,ZM197_7,0.398,,
3BNC117,ZM197_7,0.4,,
3BNC117,ZM197_7,0.398,,
3BNC117,ZM197_7,0.398,,
3BNC117,ZM197_7,0.398,1.29,
3BNC117,ZM197_7,0.455,1.38,
3BNC117,ZM197_7,0.378,1.04,
3BNC117,ZM197_7,0.22,1.03,
3BNC117,ZM197_7,0.45,,
3BNC117,ZM197_7,0.22,1.03,
3BNC117,ZM197_7,0.361,1.14,
3BNC117,ZM214_15,0.082,,
3BNC117,ZM214_15,0.088,,
3BNC117,ZM214_15,0.06,,
3BNC117,ZM214_15,0.088,,
3BNC117,ZM214_15,0.06,,
3BNC117,ZM214_15,0.088,,
3BNC117,ZM214_15,0.09,,
3BNC117,ZM214_15,0.5516015,,
3BNC117,ZM214_15,0.088,,
3BNC117,ZM214_15,0.088,,
3BNC117,ZM214_15,0.088,0.744,
3BNC117,ZM214_15,0.225,1.12,
3BNC117,ZM214_15,0.251,0.702,
3BNC117,ZM214_15,0.06,0.52,
3BNC117,ZM214_15,0.12,,
3BNC117,ZM214_15,0.06,0.52,
3BNC117,ZM214_15,0.338,0.993,
3BNC117,ZM215_8,0.01,,
3BNC117,ZM215_8,0.018,,
3BNC117,ZM215_8,0.01,,
3BNC117,ZM215_8,0.01,,
3BNC117,ZM215_8,0.01,,
3BNC117,ZM215_8,0.01,,
3BNC117,ZM215_8,0.01,0.07,
3BNC117,ZM215_8,0.028,0.104,
3BNC117,ZM215_8,0.018,0.087,
3BNC117,ZM215_8,0.045,0.13,
3BNC117,ZM233_6,0.181,,
3BNC117,ZM233_6,0.202,,
3BNC117,ZM233_6,0.13,,
3BNC117,ZM233_6,0.202,,
3BNC117,ZM233_6,0.13,,
3BNC117,ZM233_6,0.202,,
3BNC117,ZM233_6,11.56042,,
3BNC117,ZM233_6,0.202,,
3BNC117,ZM233_6,0.202,,
3BNC117,ZM233_6,0.202,0.912,
3BNC117,ZM233_6,0.531,1.41,
3BNC117,ZM233_6,0.249,0.64,
3BNC117,ZM233_6,0.13,0.85,
3BNC117,ZM233_6,0.3,,
3BNC117,ZM233_6,0.13,0.85,
3BNC117,ZM233_6,0.396,0.892,
3BNC117,ZM246F,19.32,,
3BNC117,ZM246F,19.32,,
3BNC117,ZM246F,19.32,,
3BNC117,ZM246F,8.86,>25,
3BNC117,ZM246F,19.32,>50,
3BNC117,ZM246F,19.32,>50,
3BNC117,ZM249_1,0.037,,
3BNC117,ZM249_1,0.039,,
3BNC117,ZM249_1,0.03,,
3BNC117,ZM249_1,0.039,,
3BNC117,ZM249_1,0.03,,
3BNC117,ZM249_1,0.039,,
3BNC117,ZM249_1,0.04,,
3BNC117,ZM249_1,0.3537256,,
3BNC117,ZM249_1,0.039,,
3BNC117,ZM249_1,0.039,,
3BNC117,ZM249_1,0.039,0.207,
3BNC117,ZM249_1,0.086,0.334,
3BNC117,ZM249_1,0.089,0.265,
3BNC117,ZM249_1,0.03,0.11,
3BNC117,ZM249_1,0.1,,
3BNC117,ZM249_1,0.03,0.11,
3BNC117,ZM249_1,0.107,0.319,
3BNC117,ZM53_12,0.212,,
3BNC117,ZM53_12,0.212,,
3BNC117,ZM53_12,0.21,,
3BNC117,ZM53_12,0.212,,
3BNC117,ZM53_12,0.21,,
3BNC117,ZM53_12,0.212,,
3BNC117,ZM53_12,0.3798967,,
3BNC117,ZM53_12,0.212,,
3BNC117,ZM53_12,0.212,,
3BNC117,ZM53_12,0.212,1.06,
3BNC117,ZM53_12,0.317,1.15,
3BNC117,ZM53_12,0.16,0.491,
3BNC117,ZM53_12,0.384,,
3BNC117,ZM53_12,0.21,0.85,
3BNC117,ZM53_12,0.38,,
3BNC117,ZM53_12,0.21,0.85,
3BNC117,ZM53_12,0.297,0.843,
3BNC117,ZM55_28A,0.04,,
3BNC117,ZM55_28A,0.051,,
3BNC117,ZM55_28A,0.04,,
3BNC117,ZM55_28A,0.04,,
3BNC117,ZM55_28A,0.048,,
3BNC117,ZM55_28A,0.04,,
3BNC117,ZM55_28A,0.04,,
3BNC117,ZM55_28A,0.04,0.179,
3BNC117,ZM55_28A,0.076,0.171,
3BNC117,ZM55_28A,0.051,0.198,
3BNC117,ZM55_28A,0.088,0.232,
3BNC60,211_9,0.37,,
3BNC60,231965_C1,0.07,0.25,
3BNC60,249M_B10,0.09,,
3BNC60,3016_V5_C45,1.58,,
